FURNISHED,GOURMET_SPACE,KITCHEN,DRESS_ROOM,BATHROOMS,BALCONY,SPORTS_COURT,FOOD_COURT,RECREATION_AREA,REST_AREAS,POOL,SAFETY,VIEW,ACCESSIBILITY,WORK_AREAS,GARAGE,SUSTAINABILITY,OUTDOOR_AREAS,PET_FRIENDLY,MID_END_APARTMENT_AMENITIES,HIGH_END_APARTMENT_AMENITIES,HIGH_END_CONDO_AMENITIES,ZONE_CODE,NEIGHBORHOOD_CODE,ZONE,NEIGHBORHOOD,STREET,PRICE,USABLEAREAS,TOTALAREAS,PARKINGSPACES,SUITES,BEDROOMS,TOTAL_AMENITIES,ELEVATOR,SERVICE_AREA,LAUNDRY,LUNCH_ROOM,ESSENTIAL_PUBLIC_SERVICES,NEAR_ACCESS_ROADS,NEAR_SCHOOL,NEAR_HOSPITAL,NEAR_SHOPPING_CENTER,NEAR_PUBLIC_TRANSPORT,COVERAGE,YEARLY_EXPENSES
False,True,False,False,True,False,True,False,True,True,True,True,False,False,False,False,False,True,True,True,False,True,3,9,Zona Oeste,Barra da Tijuca,Rua Jacarandás da Península,3490000,380,0,6,4,5,16,True,False,False,False,False,False,False,False,False,False,False,46970
False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,3,9,Zona Oeste,Barra da Tijuca,Avenida Flamboyants da Península,3275000,273,273,3,2,4,27,True,False,False,False,False,False,False,False,False,False,False,1300
True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,2,112,Zona Norte,Tijuca,Rua Conselheiro Zenha,575000,111,111,1,0,3,7,True,True,False,False,False,False,False,False,False,False,False,13420
False,False,True,False,True,True,True,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,3,9,Zona Oeste,Barra da Tijuca,Avenida Salvador Allende,1123850,123,123,2,2,4,8,False,True,False,False,False,False,False,False,False,False,False,0
False,True,True,False,True,False,True,True,False,True,True,True,False,False,False,False,False,False,False,True,False,False,3,80,Zona Oeste,Pechincha,,395000,60,60,1,1,2,11,True,True,False,False,False,False,False,False,False,False,False,8470
False,True,False,False,True,False,True,True,True,True,True,True,False,True,True,False,True,True,True,False,False,False,3,9,Zona Oeste,Barra da Tijuca,Avenida Salvador Allende,421530,55,55,1,1,2,22,True,False,True,False,False,False,False,False,False,False,False,13
False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,106,Zona Sul,São Conrado,Estrada da Gávea,1160000,95,95,1,2,2,0,False,False,False,False,False,False,False,False,False,False,False,9500
True,False,False,False,True,False,True,True,True,True,True,True,False,True,False,False,True,True,True,False,False,True,3,8,Zona Oeste,Barra Olímpica,Avenida Vice-Presidente José Alencar,1080000,89,89,1,1,3,19,True,False,False,False,False,False,False,False,False,False,False,18125
False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,39,Zona Sul,Flamengo,Avenida Oswaldo Cruz,1700000,217,217,1,1,4,0,False,False,False,False,False,False,False,False,False,False,False,21378
True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,False,True,False,True,True,False,False,3,9,Zona Oeste,Barra da Tijuca,Avenida Luiz Aranha,2280000,165,165,2,2,4,25,True,False,False,False,False,False,False,False,False,False,False,32015
True,True,False,True,True,True,False,True,False,True,False,True,False,True,True,False,True,True,True,True,True,True,4,28,Zona Sul,Copacabana,Rua Leopoldo Miguez,2200000,300,300,3,1,5,69,True,True,True,True,False,False,False,False,False,False,False,47280
False,True,False,False,True,False,True,True,True,True,True,True,False,True,True,False,True,True,True,False,False,False,3,9,Zona Oeste,Barra da Tijuca,Avenida das Américas,13238000,424,424,4,4,4,21,True,False,False,False,False,False,False,False,False,False,False,13
False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,107,Zona Norte,São Cristóvão,Campo São Cristóvão,280000,56,56,0,0,1,3,True,False,False,False,False,False,False,False,False,False,False,7201
False,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,4,28,Zona Sul,Copacabana,Rua Miguel Lemos,1750000,170,170,1,1,3,5,True,True,False,False,False,False,False,False,False,False,False,12000
False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2,4,Zona Norte,Andaraí,Rua Goiânia,400000,72,72,1,0,3,1,False,False,False,False,False,False,False,False,False,False,False,6230
False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,4,43,Zona Sul,Glória,Rua Benjamim Constant,320000,32,32,0,0,1,6,True,False,False,False,True,False,False,False,False,False,False,7800
False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,4,53,Zona Sul,Ipanema,Rua Alberto de Campos,850000,76,76,0,0,2,8,True,True,False,False,False,False,False,False,False,False,False,11258
False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,93,Zona Oeste,Recreio dos Bandeirantes,Rua Silvia Pozzano,750000,133,133,2,1,3,0,False,False,False,False,False,False,False,False,False,False,False,12334
True,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,True,True,False,True,4,28,Zona Sul,Copacabana,Rua Barata Ribeiro,510000,40,40,0,0,1,36,True,True,False,False,False,False,False,False,False,False,False,11272
False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,4,28,Zona Sul,Copacabana,Rua Barata Ribeiro,1500000,137,137,1,1,4,2,False,False,False,False,False,False,False,False,False,False,False,19575
False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,9,Zona Oeste,Barra da Tijuca,Praça Antônio Callado,2400000,110,110,2,1,3,1,True,False,False,False,False,False,False,False,False,False,False,26600
False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,2,123,Zona Norte,Vila Isabel,Rua Araújo Lima,525000,80,80,1,1,2,6,True,False,False,False,False,False,False,False,False,False,False,10100
False,True,False,False,True,False,True,True,True,True,True,True,False,True,True,False,True,True,True,False,False,False,3,9,Zona Oeste,Barra da Tijuca,Rua Rogério Jonas Zylbersztajn,1374000,149,149,1,1,3,18,True,False,False,False,False,False,False,False,False,False,False,13
